2,"../data/output_file.csv",3156487,20,5,int64,object,"pernum","metro",theilsu,0.0007114105434677247,0.0006941832073231446,14.562039375305176
2,"../data/output_file.csv",3156487,20,5,int64,object,"pernum","gq",theilsu,0.029517211641184888,0.17959211967333222,14.110835313796997
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","year",pearson,nan,nan,0.005983591079711914
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","year",spearman,nan,nan,0.02593088150024414
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","year",theilsu,0.0,1.0,6.868622779846191
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","datanum",pearson,nan,nan,0.0039899349212646484
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","datanum",spearman,nan,nan,0.021940231323242188
2,"../data/output_file.csv",3156487,1237,1,float64,int64,"perwt","datanum",theilsu,0.0,1.0,6.623279333114624
2,"../data/output_file.csv",3156487,1237,1380233,float64,float64,"perwt","serial",pearson,-0.005268889689960447,7.895806070614556e-21,0.04986691474914551
2,"../data/output_file.csv",3156487,1237,1380233,float64,float64,"perwt","serial",spearman,-0.016811258795491342,4.8527427630945375e-196,0.6219451427459717
2,"../data/output_file.csv",3156487,1237,1380233,float64,float64,"perwt","serial",theilsu,0.8284127875922709,0.3242321742447143,11.223970651626587
2,"../data/output_file.csv",3156487,1237,992,float64,float64,"perwt","hhwt",pearson,0.8981266476208528,0.0,0.05385565757751465
2,"../data/output_file.csv",3156487,1237,992,float64,float64,"perwt","hhwt",spearman,0.9236885466018366,0.0,0.7479996681213379
2,"../data/output_file.csv",3156487,1237,992,float64,float64,"perwt","hhwt",theilsu,0.356448161291041,0.36142693841651397,7.875927209854126
2,"../data/output_file.csv",3156487,1237,9,float64,object,"perwt","region",theilsu,0.003034126700306748,0.00790819721910212,13.630531549453735
2,"../data/output_file.csv",3156487,1237,5,float64,object,"perwt","metro",theilsu,0.008110110568083749,0.030194602313427864,15.023456573486328
2,"../data/output_file.csv",3156487,1237,5,float64,object,"perwt","gq",theilsu,0.004125751901680155,0.09577756425452685,14.435035467147827
2,"../data/output_file.csv",3156487,1237,20,float64,int64,"perwt","pernum",pearson,0.11078511251645456,0.0,0.05884194374084473
2,"../data/output_file.csv",3156487,1237,20,float64,int64,"perwt","pernum",spearman,0.13523563464886762,0.0,0.6981334686279297
2,"../data/output_file.csv",3156487,1237,20,float64,int64,"perwt","pernum",theilsu,0.0024221896603829943,0.00924180665383848,6.833715915679932
2,"../data/output_file.csv",3156487,19,1,object,int64,"famsize","year",theilsu,0.0,1.0,14.451334476470947
2,"../data/output_file.csv",3156487,19,1,object,int64,"famsize","datanum",theilsu,0.0,1.0,14.435936212539673
2,"../data/output_file.csv",3156487,19,1380233,object,float64,"famsize","serial",theilsu,0.9881724199989573,0.1290756368219693,23.31409192085266
2,"../data/output_file.csv",3156487,19,992,object,float64,"famsize","hhwt",theilsu,0.00960753300013833,0.0032511593665857123,18.240197896957397
2,"../data/output_file.csv",3156487,19,9,object,object,"famsize","region",theilsu,0.0027964801582926577,0.002432527478433374,19.54329228401184
2,"../data/output_file.csv",3156487,19,5,object,object,"famsize","metro",theilsu,0.0024708762026395114,0.0030701228849599827,20.663321018218994
2,"../data/output_file.csv",3156487,19,5,object,object,"famsize","gq",theilsu,0.04635470325627548,0.35913416179945507,21.56031608581543
2,"../data/output_file.csv",3156487,19,20,object,int64,"famsize","pernum",theilsu,0.1968947560535733,0.250717769590361,13.741799354553223
2,"../data/output_file.csv",3156487,19,1237,object,float64,"famsize","perwt",theilsu,0.0080503538441456,0.0026866877994153318,14.089303970336914
