global_step,train_loss,mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,acc,rec,pre,f1,eval_loss
21,0.5287690162658691,0.5318738142626322,0.763671875,0.7566453893744476,239,152,88,33,0.8805606617647059,0.9104989451575156,0.763671875,0.8786764705882353,0.7308868501529052,0.7979966611018364,0.5091077983379364
42,0.19972719252109528,0.8122653356254549,0.90625,0.9060076185231081,245,219,21,27,0.9569087009803922,0.9704458622280352,0.90625,0.9007352941176471,0.9210526315789473,0.9107806691449815,0.23247142136096954
63,0.1938101351261139,0.7842395964856473,0.892578125,0.8919512092179125,248,209,31,24,0.9598192401960784,0.9720182728274926,0.892578125,0.9117647058823529,0.8888888888888888,0.9001814882032668,0.24116949861248335
84,0.37886443734169006,0.8605954262035816,0.9296875,0.9296004888854938,247,229,11,25,0.9690257352941175,0.979110752280921,0.9296875,0.9080882352941176,0.9573643410852714,0.9320754716981132,0.18282102172573408
105,0.15415902435779572,0.8490785539005162,0.923828125,0.9237440568253423,245,228,12,27,0.9713694852941177,0.9807673306277422,0.923828125,0.9007352941176471,0.953307392996109,0.9262759924385633,0.1797335110604763
